Date,City,State,AreaType,School,Fatalities,Wounded,Dupe,Source,Desc
1/4/2022,Rockford,Illinois,,HS,0,2,,Wikp,"Two 17-year-olds were wounded while sitting in a car, in the parking lot of Auburn High School around 1pm. Three juveniles fled and were later arrested."
1/9/2022,Murfreesboro,North Carolina,,C,0,0,,Wikp,"An unknown individual discharged a gun in a Chowan University dorm room, no injuries were reported and the bullet was located later in a fridge."
1/11/2022,Albuquerque,New Mexico,,HS,0,0,,Wikp,"A shooting occurred in the parking lot of Valley High School during a basketball game, no injuries were reported."
1/19/2022,Sanford,Florida,,HS,0,1,,Wikp,A 16-year-old student wounded an 18-year-old student around noon at Seminole High School over a disagreement about a dead relative.
1/19/2022,Pittsburgh,Pennsylvania,,HS,1,0,,Wikp,A 15-year-old boy boarded a school van to go home when school was being dismissed at Oliver Citywide Academy. Two masked gunmen approached the van and shot the boy twice in the chest. The boy was taken to the hospital where he later died.
1/21/2022,Derwood,Maryland,,HS,0,1,,Wikp,"A 17-year-old boy shot and wounded a 15-year-old boy in a bathroom at Colonel Zadok Magruder High School. The victim was hospitalized, and the shooter was taken into custody."
1/29/2022,Beloit,Wisconsin,,HS,1,0,,Wikp,"A 19-year old man (suspected to be Amaree Goodall) shot and killed another 19-year-old man, Jion Broomfield in the parking lot of Beloit Memorial High School. The victim was admitted to a nearby hospital around 9:07 P.M. CST with a gunshot wound to his leg and died shortly after."
2/1/2022,Richfield,Minnesota,,HS,1,1,,Wikp,"At the South Education Center, a fight broke out which resulted in 15-year old student Jahmari Rice being killed and a 17-year old student critically injured."
2/1/2022,Bridgewater,Virginia,,C,2,1,,Wikp,Two campus police and security officers were shot and killed at Bridgewater College. The shooter was taken into custody and hospitalized for non-life-threatening injuries.
2/8/2022,Catonsville,Maryland,,HS,0,1,,Wikp,A 16-year-old was wounded in an apparent targeted shooting in Catonsville High Schools parking lot shortly after 3pm.
3/4/2022,Olathe,Kansas,,HS,0,3,,Wikp,"An 18-year-old senior at Olathe East High School was called to the office on suspicion of carrying a gun. Upon arriving at the office, the senior, identified as Jaylon Elmore, shot and critically wounded a school resource officer and the principal. Though wounded, the school resource officer returned fire with his service pistol, injuring Elmore."
3/7/2022,Des Moines,Iowa,,HS,1,2,,Wikp,"Around 2:42 P.M. CST, shooters from multiple vehicles opened fire on a group of teenagers in front of East High School in a drive-by shooting. 3 teenagers, a 15-year-old targeted male, a 16-year-old female, and an 18-year-old female, were shot and transferred to hospitals where they were reported to be in critical condition. The targeted victim shortly died to his injuries."
3/31/2022,Greenville,South Carolina,,MS,1,0,,Wikp,A 12-year-old student shot and killed another student at Tanglewood Middle School. The shooter was found under a deck at a nearby home.
4/5/2022,Erie,Pennsylvania,,HS,0,1,,Wikp,A student was wounded after multiple shots were fired at Erie High School around 9:20 am. No perpetrator was immediately identified and police were searching for a person who had fled campus shortly after the shooting.
